date,competition,home,away,home_goals,away_goals,lineup,minutes,goals,assists,cards,minutes_acum,goals_acum,assists_acum
2004-10-16,PRM,Espanyol,FC Barcelona,0,1,SU,7,0,0,0,7,0,0
2004-10-24,PRM,FC Barcelona,Osasuna,3,0,SU,18,0,0,0,25,0,0
2004-10-27,CUP,Gramenet,FC Barcelona,1,0,ST,72,0,0,0,97,0,0
2004-12-04,PRM,FC Barcelona,Málaga,4,0,SU,8,0,0,0,105,0,0
2004-12-07,EUR,Shakhtar Donetsk,FC Barcelona,2,0,ST,90,0,0,0,195,0,0
2004-12-11,PRM,Albacete,FC Barcelona,1,2,SU,1,0,0,0,196,0,0
2004-12-21,PRM,FC Barcelona,Levante,2,1,SU,33,0,0,0,229,0,0
2005-04-17,PRM,FC Barcelona,Getafe,2,0,SU,5,0,0,0,234,0,0
2005-05-01,PRM,FC Barcelona,Albacete,2,0,SU,3,1,0,0,237,1,0
2005-08-17,FRN,Hungary,Argentina,1,2,SU,2,0,0,1,239,1,0
2005-09-03,WCQ,Paraguay,Argentina,1,0,SU,10,0,0,0,249,1,0
2005-09-14,EUR,Werder Bremen,FC Barcelona,0,2,SU,25,0,0,0,274,1,0
2005-09-27,EUR,FC Barcelona,Udinese,4,1,ST,69,0,0,0,343,1,0
2005-10-01,PRM,FC Barcelona,Real Zaragoza,2,2,SU,25,0,0,0,368,1,0
2005-10-10,WCQ,Argentina,Peru,2,0,ST,90,0,0,0,458,1,0
2005-10-13,WCQ,Uruguay,Argentina,1,0,SU,11,0,0,0,469,1,0
2005-10-18,EUR,Panathinaikos,FC Barcelona,0,0,SU,24,0,0,0,493,1,0
2005-10-22,PRM,FC Barcelona,Osasuna,3,0,ST,90,0,0,1,583,1,0
2005-10-26,PRM,FC Barcelona,Málaga,2,0,SU,29,0,0,0,612,1,0
2005-11-02,EUR,FC Barcelona,Panathinaikos,5,0,ST,90,1,1,0,702,2,1
2005-11-06,PRM,Getafe,FC Barcelona,1,3,SU,22,0,0,0,724,2,1
2005-11-16,FRN,Qatar,Argentina,0,3,ST,80,0,1,0,804,2,2
2005-11-19,PRM,Real Madrid,FC Barcelona,0,3,ST,69,0,1,0,873,2,3
2005-11-27,PRM,FC Barcelona,Racing Santander,4,1,ST,66,1,0,0,939,3,3
2005-12-04,PRM,Villarreal,FC Barcelona,0,2,ST,80,0,0,0,1019,3,3
2005-12-11,PRM,FC Barcelona,Sevilla,2,1,ST,62,0,0,1,1081,3,3
2005-12-17,PRM,Cádiz,FC Barcelona,1,3,ST,81,0,1,0,1162,3,4
2005-12-20,PRM,FC Barcelona,Celta de Vigo,2,0,ST,66,0,0,0,1228,3,4
2006-01-07,PRM,Espanyol,FC Barcelona,1,2,ST,77,0,0,0,1305,3,4
2006-01-15,PRM,FC Barcelona,Athletic de Bilbao,2,1,ST,82,1,0,0,1387,4,4
2006-01-22,PRM,FC Barcelona,Alavés,2,0,SU,19,1,0,0,1406,5,4
2006-01-26,CUP,Real Zaragoza,FC Barcelona,4,2,ST,90,0,0,0,1496,5,4
2006-01-29,PRM,Real Mallorca,FC Barcelona,0,3,SU,19,2,0,0,1515,7,4
2006-02-01,CUP,FC Barcelona,Real Zaragoza,2,1,ST,90,1,0,0,1605,8,4
2006-02-05,PRM,FC Barcelona,Atlético Madrid,1,3,ST,45,0,0,0,1650,8,4
2006-02-18,PRM,FC Barcelona,Real Betis,5,1,SU,14,1,0,0,1664,9,4
2006-02-22,EUR,Chelsea,FC Barcelona,1,2,ST,90,0,0,0,1754,9,4
2006-02-25,PRM,Real Zaragoza,FC Barcelona,0,2,ST,69,0,0,0,1823,9,4
2006-03-01,FRN,Croatia,Argentina,3,2,ST,90,1,1,0,1913,10,5
2006-03-07,EUR,FC Barcelona,Chelsea,1,1,ST,24,0,0,0,1937,10,5
2006-05-30,FRN,Argentina,Angola,2,0,SU,27,0,0,0,1964,10,5
2006-06-16,WCP,Argentina,Serbia and Montenegro,6,0,SU,16,1,1,0,1980,11,6
2006-06-21,WCP,Netherlands,Argentina,0,0,ST,69,0,0,0,2049,11,6
2006-06-24,WCP,Argentina,Mexico,2,1,SU,37,0,0,0,2086,11,6
2006-08-17,SUP,Espanyol,FC Barcelona,0,1,SU,31,0,0,0,2117,11,6
2006-08-20,SUP,FC Barcelona,Espanyol,3,0,ST,90,0,0,0,2207,11,6
2006-08-25,IUP,FC Barcelona,Sevilla,0,3,ST,90,0,0,0,2297,11,6
2006-08-28,PRM,Celta de Vigo,FC Barcelona,2,3,ST,90,1,1,0,2387,12,7
2006-09-03,FRN,Brazil,Argentina,3,0,ST,90,0,0,0,2477,12,7
2006-09-09,PRM,FC Barcelona,Osasuna,3,0,ST,90,1,0,0,2567,13,7
2006-09-17,PRM,Racing Santander,FC Barcelona,0,3,ST,64,0,0,0,2631,13,7
2006-09-24,PRM,FC Barcelona,Valencia,1,1,ST,84,0,0,0,2715,13,7
2006-09-27,EUR,Werder Bremen,FC Barcelona,1,1,SU,26,1,0,0,2741,14,7
2006-09-30,PRM,Athletic de Bilbao,FC Barcelona,1,3,ST,90,0,0,1,2831,14,7
2006-10-11,FRN,Spain,Argentina,2,1,ST,61,0,0,0,2892,14,7
2006-10-15,PRM,FC Barcelona,Sevilla,3,1,ST,90,1,0,0,2982,15,7
2006-10-18,EUR,Chelsea,FC Barcelona,1,0,ST,90,0,0,0,3072,15,7
2006-10-22,PRM,Real Madrid,FC Barcelona,2,0,ST,90,0,0,0,3162,15,7
2006-10-31,EUR,FC Barcelona,Chelsea,2,2,ST,90,0,0,1,3252,15,7
2006-11-04,PRM,Deportivo La Coruña,FC Barcelona,1,1,ST,90,0,0,0,3342,15,7
2006-11-12,PRM,FC Barcelona,Real Zaragoza,3,1,ST,22,0,0,0,3364,15,7
2007-02-11,PRM,FC Barcelona,Racing Santander,2,0,SU,23,0,0,0,3387,15,7
2007-02-18,PRM,Valencia,FC Barcelona,2,1,SU,35,0,0,0,3422,15,7
2007-02-21,EUR,FC Barcelona,Liverpool,1,2,ST,90,0,0,0,3512,15,7
2007-02-25,PRM,FC Barcelona,Athletic de Bilbao,3,0,SU,24,0,0,0,3536,15,7
2007-02-28,CUP,Real Zaragoza,FC Barcelona,1,2,ST,90,0,0,0,3626,15,7
2007-03-03,PRM,Sevilla,FC Barcelona,2,1,ST,70,0,0,0,3696,15,7
2007-03-06,EUR,Liverpool,FC Barcelona,0,1,ST,90,0,0,0,3786,15,7
2007-03-10,PRM,FC Barcelona,Real Madrid,3,3,ST,90,3,0,0,3876,18,7
2007-03-17,PRM,Recreativo Huelva,FC Barcelona,0,4,ST,90,1,0,0,3966,19,7
2007-03-31,PRM,FC Barcelona,Deportivo La Coruña,2,1,ST,84,1,0,0,4050,20,7
2007-04-07,PRM,Real Zaragoza,FC Barcelona,1,0,ST,90,0,0,1,4140,20,7
2007-04-15,PRM,FC Barcelona,Real Mallorca,1,0,ST,90,0,0,0,4230,20,7
2007-04-18,CUP,FC Barcelona,Getafe,5,2,ST,76,2,1,0,4306,22,8
2007-04-22,PRM,Villarreal,FC Barcelona,2,0,ST,90,0,0,0,4396,22,8
2007-04-29,PRM,FC Barcelona,Levante,1,0,ST,90,0,0,0,4486,22,8
2007-05-05,PRM,Real Sociedad,FC Barcelona,0,2,ST,89,0,0,0,4575,22,8
2007-05-13,PRM,FC Barcelona,Real Betis,1,1,ST,74,0,0,0,4649,22,8
