id,date,competition,home,away,team,home_goals,away_goals,lineup,minutes,goals,assists,cards,minutes_acum,goals_acum,assists_acum,jersey
1,2004-12-11,PRM,Albacete,FC Barcelona,FC Barcelona,1,2,SU,1,0,0,0,1,0,0,30
2,2005-08-17,FRN,Hungary,Argentina,Argentina,1,2,SU,2,0,0,1,3,0,0,18
3,2005-05-01,PRM,FC Barcelona,Albacete,FC Barcelona,2,0,SU,3,1,0,0,6,1,0,30
4,2005-04-17,PRM,FC Barcelona,Getafe,FC Barcelona,2,0,SU,5,0,0,0,11,1,0,30
5,2004-10-16,PRM,Espanyol,FC Barcelona,FC Barcelona,0,1,SU,7,0,0,0,18,1,0,30
6,2004-12-04,PRM,FC Barcelona,Málaga,FC Barcelona,4,0,SU,8,0,0,0,26,1,0,30
7,2015-09-26,PRM,FC Barcelona,Las Palmas,FC Barcelona,2,1,ST,9,0,0,0,35,1,0,10
8,2005-09-03,WCQ,Paraguay,Argentina,Argentina,1,0,SU,10,0,0,0,45,1,0,18
9,2005-10-12,WCQ,Uruguay,Argentina,Argentina,1,0,SU,11,0,0,0,56,1,0,19
10,2006-02-18,PRM,FC Barcelona,Real Betis,FC Barcelona,5,1,SU,14,1,0,0,70,2,0,19
11,2007-10-28,PRM,FC Barcelona,UD Almería,FC Barcelona,2,0,SU,16,1,0,0,86,3,0,19
12,2006-06-16,WCP,Argentina,Serbia and Montenegro,Argentina,6,0,SU,16,1,1,0,102,4,1,19
13,2009-01-21,CUP,Espanyol,FC Barcelona,FC Barcelona,0,0,SU,16,0,0,0,118,4,1,10
14,2004-10-24,PRM,FC Barcelona,Osasuna,FC Barcelona,3,0,SU,18,0,0,0,136,4,1,30
15,2006-01-29,PRM,Real Mallorca,FC Barcelona,FC Barcelona,0,3,SU,19,2,0,0,155,6,1,30
16,2006-01-22,PRM,FC Barcelona,Alavés,FC Barcelona,2,0,SU,19,1,0,0,174,7,1,30
17,2009-01-14,CUP,FC Barcelona,Atlético Madrid,FC Barcelona,2,1,SU,19,0,0,0,193,7,1,10
18,2013-11-10,PRM,Real Betis,FC Barcelona,FC Barcelona,1,4,ST,20,0,0,0,213,7,1,10
19,2006-11-12,PRM,FC Barcelona,Real Zaragoza,FC Barcelona,3,1,ST,22,0,0,0,235,7,1,19
20,2005-11-06,PRM,Getafe,FC Barcelona,FC Barcelona,1,3,SU,22,0,0,0,257,7,1,30
21,2013-10-19,PRM,Osasuna,FC Barcelona,FC Barcelona,0,0,SU,23,0,0,0,280,7,1,10
22,2007-02-11,PRM,FC Barcelona,Racing Santander,FC Barcelona,2,0,SU,23,0,0,0,303,7,1,19
23,2007-02-25,PRM,FC Barcelona,Athletic de Bilbao,FC Barcelona,3,0,SU,24,0,0,0,327,7,1,19
